id_cliente,nome,email,data_primeira_compra,status_cliente,data_churn
CLI-00001,Cliente CLI-00001,user_l-00002@empresa.com,2025-02-02,Churned,2025-08-31
CLI-00002,Cliente CLI-00002,user_l-00003@empresa.com,2025-01-26,Churned,2025-05-26
CLI-00003,Cliente CLI-00003,user_l-00006@empresa.com,2025-01-20,Churned,2025-07-19
CLI-00004,Cliente CLI-00004,user_l-00010@empresa.com,2025-02-09,Churned,2025-05-10
CLI-00005,Cliente CLI-00005,user_l-00012@empresa.com,2025-01-16,Churned,2025-03-17
CLI-00006,Cliente CLI-00006,user_l-00016@empresa.com,2025-02-07,Churned,2025-05-08
CLI-00007,Cliente CLI-00007,user_l-00027@empresa.com,2025-02-07,Churned,2025-04-08
CLI-00008,Cliente CLI-00008,user_l-00039@empresa.com,2025-02-01,Churned,2025-06-01
CLI-00009,Cliente CLI-00009,user_l-00042@empresa.com,2025-01-28,Churned,2025-10-25
CLI-00010,Cliente CLI-00010,user_l-00044@empresa.com,2025-01-21,Churned,2025-06-20
CLI-00011,Cliente CLI-00011,user_l-00046@empresa.com,2025-01-30,Churned,2025-03-31
CLI-00012,Cliente CLI-00012,user_l-00050@empresa.com,2025-02-01,Churned,2025-06-01
CLI-00013,Cliente CLI-00013,user_l-00053@empresa.com,2025-01-24,Churned,2025-04-24
CLI-00014,Cliente CLI-00014,user_l-00056@empresa.com,2025-02-07,Churned,2025-03-09
CLI-00015,Cliente CLI-00015,user_l-00059@empresa.com,2025-02-07,Churned,2025-03-09
CLI-00016,Cliente CLI-00016,user_l-00060@empresa.com,2025-01-16,Churned,2025-02-15
CLI-00017,Cliente CLI-00017,user_l-00063@empresa.com,2025-01-28,Churned,2025-03-29
CLI-00018,Cliente CLI-00018,user_l-00064@empresa.com,2025-02-07,Churned,2025-07-07
CLI-00019,Cliente CLI-00019,user_l-00067@empresa.com,2025-01-17,Churned,2025-09-14
CLI-00020,Cliente CLI-00020,user_l-00069@empresa.com,2025-02-08,Churned,2025-07-08
CLI-00021,Cliente CLI-00021,user_l-00073@empresa.com,2025-02-07,Churned,2025-12-04
CLI-00022,Cliente CLI-00022,user_l-00077@empresa.com,2025-02-04,Churned,2025-12-31
CLI-00023,Cliente CLI-00023,user_l-00078@empresa.com,2025-02-08,Churned,2025-05-09
CLI-00024,Cliente CLI-00024,user_l-00081@empresa.com,2025-02-10,Churned,2025-07-10
CLI-00025,Cliente CLI-00025,user_l-00093@empresa.com,2025-01-29,Churned,2025-06-28
CLI-00026,Cliente CLI-00026,user_l-00099@empresa.com,2025-01-18,Churned,2025-02-17
CLI-00027,Cliente CLI-00027,user_l-00100@empresa.com,2025-01-20,Churned,2025-04-20
CLI-00028,Cliente CLI-00028,user_l-00105@empresa.com,2025-01-29,Churned,2025-07-28
CLI-00029,Cliente CLI-00029,user_l-00109@empresa.com,2025-02-01,Churned,2025-03-03
CLI-00030,Cliente CLI-00030,user_l-00113@empresa.com,2025-01-17,Churned,2025-04-17
CLI-00031,Cliente CLI-00031,user_l-00124@empresa.com,2025-01-24,Churned,2025-02-23
CLI-00032,Cliente CLI-00032,user_l-00131@empresa.com,2025-01-30,Churned,2025-04-30
CLI-00033,Cliente CLI-00033,user_l-00158@empresa.com,2025-01-24,Churned,2025-08-22
CLI-00034,Cliente CLI-00034,user_l-00170@empresa.com,2025-02-06,Churned,2025-03-08
CLI-00035,Cliente CLI-00035,user_l-00196@empresa.com,2025-02-01,Churned,2025-06-01
CLI-00036,Cliente CLI-00036,user_l-00197@empresa.com,2025-01-29,Churned,2025-06-28
CLI-00037,Cliente CLI-00037,user_l-00205@empresa.com,2025-02-08,Churned,2025-06-08
CLI-00038,Cliente CLI-00038,user_l-00209@empresa.com,2025-01-21,Churned,2025-08-19
CLI-00039,Cliente CLI-00039,user_l-00214@empresa.com,2025-01-22,Churned,2025-06-21
CLI-00040,Cliente CLI-00040,user_l-00217@empresa.com,2025-01-16,Churned,2025-05-16
CLI-00041,Cliente CLI-00041,user_l-00221@empresa.com,2025-02-08,Churned,2025-06-08
CLI-00042,Cliente CLI-00042,user_l-00229@empresa.com,2025-02-02,Churned,2025-05-03
CLI-00043,Cliente CLI-00043,user_l-00232@empresa.com,2025-02-04,Churned,2025-10-02
CLI-00044,Cliente CLI-00044,user_l-00239@empresa.com,2025-02-11,Churned,2025-10-09
CLI-00045,Cliente CLI-00045,user_l-00242@empresa.com,2025-01-31,Churned,2025-07-30
CLI-00046,Cliente CLI-00046,user_l-00244@empresa.com,2025-01-19,Churned,2025-05-19
CLI-00047,Cliente CLI-00047,user_l-00269@empresa.com,2025-02-11,Churned,2025-03-13
CLI-00048,Cliente CLI-00048,user_l-00272@empresa.com,2025-01-19,Churned,2025-07-18
CLI-00049,Cliente CLI-00049,user_l-00279@empresa.com,2025-01-16,Churned,2025-02-15
CLI-00050,Cliente CLI-00050,user_l-00287@empresa.com,2025-02-03,Churned,2025-08-02
CLI-00051,Cliente CLI-00051,user_l-00289@empresa.com,2025-01-26,Churned,2025-03-27
CLI-00052,Cliente CLI-00052,user_l-00292@empresa.com,2025-01-23,Churned,2025-05-23
CLI-00053,Cliente CLI-00053,user_l-00293@empresa.com,2025-01-20,Churned,2025-11-16
CLI-00054,Cliente CLI-00054,user_l-00294@empresa.com,2025-01-28,Ativo,
CLI-00055,Cliente CLI-00055,user_l-00299@empresa.com,2025-01-19,Churned,2025-07-18
CLI-00056,Cliente CLI-00056,user_l-00306@empresa.com,2025-02-02,Churned,2025-04-03
CLI-00057,Cliente CLI-00057,user_l-00321@empresa.com,2025-01-20,Churned,2025-02-19
CLI-00058,Cliente CLI-00058,user_l-00327@empresa.com,2025-01-29,Churned,2025-12-25
CLI-00059,Cliente CLI-00059,user_l-00329@empresa.com,2025-02-08,Churned,2025-04-09
CLI-00060,Cliente CLI-00060,user_l-00335@empresa.com,2025-02-08,Churned,2025-11-05
CLI-00061,Cliente CLI-00061,user_l-00341@empresa.com,2025-01-26,Churned,2025-04-26
CLI-00062,Cliente CLI-00062,user_l-00344@empresa.com,2025-02-08,Churned,2025-09-06
CLI-00063,Cliente CLI-00063,user_l-00351@empresa.com,2025-02-11,Churned,2025-04-12
CLI-00064,Cliente CLI-00064,user_l-00353@empresa.com,2025-02-09,Churned,2025-09-07
CLI-00065,Cliente CLI-00065,user_l-00357@empresa.com,2025-01-25,Churned,2025-08-23
CLI-00066,Cliente CLI-00066,user_l-00358@empresa.com,2025-01-18,Churned,2025-12-14
CLI-00067,Cliente CLI-00067,user_l-00360@empresa.com,2025-01-19,Churned,2025-03-20
CLI-00068,Cliente CLI-00068,user_l-00367@empresa.com,2025-02-07,Churned,2025-08-06
CLI-00069,Cliente CLI-00069,user_l-00375@empresa.com,2025-01-17,Churned,2025-05-17
CLI-00070,Cliente CLI-00070,user_l-00379@empresa.com,2025-02-09,Churned,2025-08-08
CLI-00071,Cliente CLI-00071,user_l-00380@empresa.com,2025-02-08,Ativo,
CLI-00072,Cliente CLI-00072,user_l-00392@empresa.com,2025-02-13,Churned,2025-08-12
CLI-00073,Cliente CLI-00073,user_l-00394@empresa.com,2025-02-23,Churned,2025-03-25
CLI-00074,Cliente CLI-00074,user_l-00411@empresa.com,2025-03-01,Churned,2025-10-27
CLI-00075,Cliente CLI-00075,user_l-00412@empresa.com,2025-02-16,Churned,2025-05-17
CLI-00076,Cliente CLI-00076,user_l-00413@empresa.com,2025-03-04,Churned,2025-09-30
CLI-00077,Cliente CLI-00077,user_l-00414@empresa.com,2025-03-10,Churned,2025-07-08
CLI-00078,Cliente CLI-00078,user_l-00416@empresa.com,2025-02-25,Churned,2025-07-25
CLI-00079,Cliente CLI-00079,user_l-00443@empresa.com,2025-02-21,Churned,2025-08-20
CLI-00080,Cliente CLI-00080,user_l-00449@empresa.com,2025-03-07,Churned,2025-08-04
CLI-00081,Cliente CLI-00081,user_l-00455@empresa.com,2025-02-18,Ativo,
CLI-00082,Cliente CLI-00082,user_l-00456@empresa.com,2025-02-18,Churned,2025-07-18
CLI-00083,Cliente CLI-00083,user_l-00475@empresa.com,2025-03-11,Churned,2025-06-09
CLI-00084,Cliente CLI-00084,user_l-00476@empresa.com,2025-03-10,Churned,2025-05-09
CLI-00085,Cliente CLI-00085,user_l-00479@empresa.com,2025-02-27,Churned,2025-06-27
CLI-00086,Cliente CLI-00086,user_l-00480@empresa.com,2025-02-14,Churned,2025-07-14
CLI-00087,Cliente CLI-00087,user_l-00486@empresa.com,2025-02-24,Churned,2025-03-26
CLI-00088,Cliente CLI-00088,user_l-00490@empresa.com,2025-03-11,Churned,2025-07-09
CLI-00089,Cliente CLI-00089,user_l-00491@empresa.com,2025-02-21,Churned,2025-06-21
CLI-00090,Cliente CLI-00090,user_l-00494@empresa.com,2025-02-24,Churned,2025-06-24
CLI-00091,Cliente CLI-00091,user_l-00502@empresa.com,2025-02-27,Churned,2025-07-27
CLI-00092,Cliente CLI-00092,user_l-00504@empresa.com,2025-02-13,Churned,2025-09-11
CLI-00093,Cliente CLI-00093,user_l-00506@empresa.com,2025-02-15,Churned,2025-03-17
CLI-00094,Cliente CLI-00094,user_l-00511@empresa.com,2025-02-27,Churned,2025-07-27
CLI-00095,Cliente CLI-00095,user_l-00515@empresa.com,2025-02-24,Churned,2025-04-25
CLI-00096,Cliente CLI-00096,user_l-00519@empresa.com,2025-02-19,Churned,2025-07-19
CLI-00097,Cliente CLI-00097,user_l-00522@empresa.com,2025-02-28,Churned,2025-06-28
CLI-00098,Cliente CLI-00098,user_l-00524@empresa.com,2025-02-22,Churned,2025-04-23
CLI-00099,Cliente CLI-00099,user_l-00530@empresa.com,2025-02-27,Churned,2025-05-28
CLI-00100,Cliente CLI-00100,user_l-00533@empresa.com,2025-02-19,Churned,2025-10-17
CLI-00101,Cliente CLI-00101,user_l-00535@empresa.com,2025-03-07,Churned,2025-07-05
CLI-00102,Cliente CLI-00102,user_l-00537@empresa.com,2025-03-04,Churned,2025-07-02
CLI-00103,Cliente CLI-00103,user_l-00540@empresa.com,2025-03-01,Churned,2025-05-30
CLI-00104,Cliente CLI-00104,user_l-00543@empresa.com,2025-02-27,Churned,2025-08-26
CLI-00105,Cliente CLI-00105,user_l-00550@empresa.com,2025-03-01,Churned,2025-04-30
CLI-00106,Cliente CLI-00106,user_l-00556@empresa.com,2025-03-01,Churned,2025-07-29
CLI-00107,Cliente CLI-00107,user_l-00557@empresa.com,2025-02-13,Churned,2025-08-12
CLI-00108,Cliente CLI-00108,user_l-00565@empresa.com,2025-02-19,Churned,2025-07-19
CLI-00109,Cliente CLI-00109,user_l-00566@empresa.com,2025-03-08,Churned,2025-11-03
CLI-00110,Cliente CLI-00110,user_l-00570@empresa.com,2025-02-14,Churned,2025-07-14
